Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
Tol 0.0001%,Sample_0013,5000,3600.0,253.40131,251.29045,1.3888888888888888,0.8330106896448177
Tol 0.0001%,Sample_0014,5000,3600.0,253.40131,251.32883,1.3888888888888888,0.8178647537378495
Tol 0.0001%,Sample_0015,5000,3600.0,253.40131,251.32302,1.3888888888888888,0.8201575595643059
Tol 0.0001%,Sample_0016,9200,5200.0,103.01957,102.5406,1.7692307692307692,0.46493108057042354
Tol 0.0001%,Sample_0017,9200,4600.0,103.01957,102.53025,2.0,0.4749777153991289
Tol 0.0001%,Sample_0018,9200,4200.0,103.01957,102.47155,2.1904761904761907,0.5319571805628854
Tol 0.0001%,Sample_0019,9200,4600.0,103.01957,102.49541,2.0,0.5087965325423071
Tol 0.0001%,Sample_0020,2600,3000.0,97.066825,97.979192,0.8666666666666667,0.9399369970121134
Tol 0.0001%,Sample_0021,2600,4400.0,97.066825,98.013966,0.5909090909090909,0.9757618012127234
Tol 0.0001%,Sample_0022,2600,3000.0,97.066825,97.820475,0.8666666666666667,0.7764238708745316
Tol 0.0001%,Sample_0023,2600,3400.0,97.066825,97.920867,0.7647058823529411,0.879849526344358
Tol 0.0001%,Sample_0024,2600,1600.0,319.81659,319.65775,1.625,0.0496659663590303
Tol 0.0001%,Sample_0025,2600,1800.0,319.81659,319.61273,1.4444444444444444,0.06374278457537808
Tol 0.0001%,Sample_0026,2600,1200.0,319.81659,319.65036,2.1666666666666665,0.05197666575084219
Tol 0.0001%,Sample_0027,2600,1400.0,319.81659,319.5704,1.8571428571428572,0.07697849570593344
Tol 0.0001%,Sample_0028,4200,3600.0,519.33476,519.58195,1.1666666666666667,0.04759743022016204
Tol 0.0001%,Sample_0029,4200,3800.0,519.33476,519.70184,1.105263157894737,0.07068273265590526
Tol 0.0001%,Sample_0030,4200,3600.0,519.33476,519.57898,1.1666666666666667,0.04702554475653453
Tol 0.0001%,Sample_0031,4200,3800.0,519.33476,519.76708,1.105263157894737,0.08324495745287766
Tol 0.0001%,Sample_0032,4200,3200.0,263.40931,262.83623,1.3125,0.217562545530378
Tol 0.0001%,Sample_0033,4200,3000.0,263.40931,262.82291,1.4,0.2226193144046526
Tol 0.0001%,Sample_0034,4200,3200.0,263.40931,262.845,1.3125,0.21423312638417286
Tol 0.0001%,Sample_0035,4200,3400.0,263.40931,262.8674,1.2352941176470589,0.2057292507998407
Tol 0.0001%,Sample_0040,5800,3400.0,148.48671,147.39744,1.7058823529411764,0.7335808032920921
Tol 0.0001%,Sample_0041,5800,3400.0,148.48671,147.45969,1.7058823529411764,0.6916578594811571
Tol 0.0001%,Sample_0042,5800,3600.0,148.48671,147.412,1.6111111111111112,0.7237752119364635
Tol 0.0001%,Sample_0043,5800,3200.0,148.48671,147.44489,1.8125,0.7016250814635204
Tol 0.0001%,Sample_0048,2400,1600.0,283.20207,281.84428,1.5,0.47944211707208423
Tol 0.0001%,Sample_0049,2400,1400.0,283.20207,281.77891,1.7142857142857142,0.5025245754736171
Tol 0.0001%,Sample_0050,2400,1600.0,283.20207,281.65951,1.5,0.5446852842565665
Tol 0.0001%,Sample_0051,2400,1600.0,283.20207,281.80141,1.5,0.49457971829090663
Tol 0.0001%,Sample_0052,2600,1600.0,472.90364,470.97421,1.625,0.4079964366525003
Tol 0.0001%,Sample_0053,2600,1600.0,472.90364,471.10867,1.625,0.3795635829743197
Tol 0.0001%,Sample_0054,2600,1600.0,472.90364,471.06379,1.625,0.38905388844120814
Tol 0.0001%,Sample_0055,2600,1800.0,472.90364,471.16214,1.4444444444444444,0.36825683980778273
Tol 0.0001%,Sample_0060,4000,2800.0,194.36328,193.96006,1.4285714285714286,0.20745688177314386
Tol 0.0001%,Sample_0061,4000,2600.0,194.36328,193.95685,1.5384615384615385,0.20910842829983126
Tol 0.0001%,Sample_0062,4000,2800.0,194.36328,193.81263,1.4285714285714286,0.28330968689146957
Tol 0.0001%,Sample_0063,4000,3000.0,194.36328,193.97008,1.3333333333333333,0.2023015870075908
Tol 0.0001%,Sample_0064,2200,200.0,314.32882,311.26585,11.0,0.9744477137031237
Tol 0.0001%,Sample_0065,2200,200.0,314.32882,311.37711,11.0,0.9390516593419564
Tol 0.0001%,Sample_0066,2200,800.0,314.32882,311.49196,2.75,0.9025134888999365
Tol 0.0001%,Sample_0067,2200,200.0,314.32882,311.39749,11.0,0.9325680031503324
Tol 0.0001%,Sample_0072,8000,6400.0,102.77083,102.91867,1.25,0.14385404885802924
Tol 0.0001%,Sample_0073,8000,6000.0,102.77083,102.91112,1.3333333333333333,0.13650760629255707
Tol 0.0001%,Sample_0074,8000,6800.0,102.77083,102.93205,1.1764705882352942,0.1568733073382789
Tol 0.0001%,Sample_0075,8000,6000.0,102.77083,102.8458,1.3333333333333333,0.07294871511691918
Tol 0.0001%,Sample_0080,9600,6800.0,59.519073,59.903226,1.411764705882353,0.6454283990612517
Tol 0.0001%,Sample_0081,9600,6800.0,59.519073,59.734104,1.411764705882353,0.3612808284161336
Tol 0.0001%,Sample_0082,9600,10600.0,59.519073,59.966949,0.9056603773584906,0.7524915584622779
