time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
3350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2603558e-05 -3.4421299e-05 0.0001726576 760.71708 215.40708
3400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2603205e-05 -3.4421129e-05 0.00017265431 760.70257 215.40297
3450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2602873e-05 -3.442097e-05 0.00017265122 760.68896 215.39912
3500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2602561e-05 -3.4420821e-05 0.00017264832 760.67619 215.3955
3550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2602267e-05 -3.442068e-05 0.0001726456 760.66422 215.39211
3600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601992e-05 -3.4420549e-05 0.00017264305 760.65299 215.38893
3650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601733e-05 -3.4420426e-05 0.00017264066 760.64246 215.38595
3700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601489e-05 -3.442031e-05 0.00017263842 760.63258 215.38315
3750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601261e-05 -3.4420201e-05 0.00017263632 760.62331 215.38053
3800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601045e-05 -3.44201e-05 0.00017263435 760.61463 215.37807
3850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600843e-05 -3.4420004e-05 0.0001726325 760.60648 215.37576
3900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600653e-05 -3.4419915e-05 0.00017263077 760.59884 215.3736
3950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600475e-05 -3.4419831e-05 0.00017262914 760.59168 215.37157
4000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600307e-05 -3.4419753e-05 0.00017262762 760.58497 215.36967
4050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600149e-05 -3.4419679e-05 0.00017262619 760.57868 215.36789
4100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600001e-05 -3.441961e-05 0.00017262485 760.57278 215.36622
4150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599861e-05 -3.4419546e-05 0.0001726236 760.56725 215.36465
4200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259973e-05 -3.4419485e-05 0.00017262242 760.56207 215.36319
4250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599607e-05 -3.4419428e-05 0.00017262132 760.55722 215.36181
4300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599491e-05 -3.4419375e-05 0.00017262029 760.55267 215.36052
4350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599381e-05 -3.4419325e-05 0.00017261932 760.54841 215.35932
4400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599279e-05 -3.4419279e-05 0.00017261841 760.54442 215.35819
4450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599182e-05 -3.4419235e-05 0.00017261757 760.54068 215.35713
4500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599092e-05 -3.4419194e-05 0.00017261677 760.53718 215.35614
4550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599006e-05 -3.4419156e-05 0.00017261603 760.53391 215.35521
4600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598926e-05 -3.441912e-05 0.00017261533 760.53084 215.35434
4650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259885e-05 -3.4419087e-05 0.00017261468 760.52797 215.35353
4700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598779e-05 -3.4419055e-05 0.00017261407 760.52528 215.35277
4750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598712e-05 -3.4419026e-05 0.0001726135 760.52276 215.35206
4800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598649e-05 -3.4418998e-05 0.00017261296 760.52041 215.35139
4850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259859e-05 -3.4418973e-05 0.00017261246 760.51821 215.35077
4900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598534e-05 -3.4418949e-05 0.000172612 760.51615 215.35018
4950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598482e-05 -3.4418926e-05 0.00017261156 760.51423 215.34964
5000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598432e-05 -3.4418905e-05 0.00017261115 760.51243 215.34913
5050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598386e-05 -3.4418886e-05 0.00017261077 760.51075 215.34865
5100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598342e-05 -3.4418867e-05 0.00017261041 760.50918 215.34821
5150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598301e-05 -3.441885e-05 0.00017261008 760.50771 215.34779
5200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598262e-05 -3.4418834e-05 0.00017260977 760.50634 215.34741
5250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598225e-05 -3.4418819e-05 0.00017260948 760.50507 215.34704
5300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598191e-05 -3.4418805e-05 0.00017260921 760.50387 215.34671
