Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation,Angular_Error_Deg,Flux_Error,Tortuosity_Error_,Divergent_Residual_
Ko et. al (Etapas 3),Spherical Pores,0.6079982638888889,2018.058837890625,1.0,9.46138774514341,13.484778931738408,1046373.0,25784.721791489133,151.373093386177,-41.63891198641712,3.8450591564178467,19.54078483581543,0.948621081148151,29.21919822692871,0.4313815236091614,4.369963645935059,44.4562873840332
Ko et. al (Etapas 3),Spherical Pores,0.6079982638888889,2018.05859375,1.0,9.461387745143416,13.484778931738408,1046373.0,25784.721791489137,151.37309338617698,-41.63891198641712,2.3584201335906982,18.92848777770996,0.9513281130958248,28.074718475341797,0.3384231925010681,3.0929880142211914,44.14748764038086
Ko et. al (Etapas 3),Spherical Pores,0.6102471064814815,2215.611083984375,1.0,9.548330652521255,13.484778931738408,1048884.0,25759.611072531607,143.14867309023293,-45.33926441330369,4.9431586265563965,26.126501083374023,0.9338549701411796,28.546878814697266,0.31599482893943787,4.919766426086426,46.09169387817383
Ko et. al (Etapas 3),Spherical Pores,0.6102471064814815,2215.611083984375,1.0,9.548330652521253,13.484778931738408,1048884.0,25759.611072531614,143.1486730902329,-45.33926441330369,3.4835336208343506,24.143009185791016,0.9407208407369994,27.42623519897461,0.5240533947944641,2.3150112628936768,44.48166275024414
Ko et. al (Etapas 3),Spherical Pores,0.6102471064814815,2215.611328125,1.0,9.548330652521251,13.484778931738408,1048884.0,25759.61107253161,143.1486730902329,-45.33926441330369,4.447675704956055,25.01540184020996,0.9390393024247359,28.386327743530273,0.3326464891433716,2.803224802017212,46.44073486328125
Ko et. al (Etapas 3),Spherical Pores,0.6102471064814815,2215.611083984375,1.0,9.548330652521255,13.484778931738408,1048884.0,25759.61107253161,143.14867309023293,-45.33926441330369,3.474113941192627,24.783071517944336,0.9380214609316753,27.833200454711914,0.5268828272819519,2.5877888202667236,44.95974349975586
Ko et. al (Etapas 3),Spherical Pores,0.5746319444444444,2447.409912109375,1.0,11.575340108081194,18.110771637517,988618.0,22095.001096724398,201.8073270727607,-27.394544579692482,2.3029143810272217,27.494661331176758,0.9180485975723276,29.23324203491211,0.6578671932220459,4.287445068359375,48.397056579589844
Ko et. al (Etapas 3),Spherical Pores,0.5746319444444444,2447.409912109375,1.0,11.575340108081202,18.110771637517,988618.0,22095.00109672439,201.80732707276076,-27.394544579692482,2.337366819381714,28.16318130493164,0.9110149024691773,28.844968795776367,0.3850575089454651,1.731225609779358,47.65438461303711
Ko et. al (Etapas 3),Spherical Pores,0.5746319444444444,2447.409912109375,1.0,11.575340108081198,18.110771637517,988618.0,22095.001096724398,201.8073270727607,-27.394544579692482,5.520748615264893,27.797243118286133,0.9186686994447644,28.95570945739746,0.6866531372070312,3.762092113494873,48.000980377197266
Ko et. al (Etapas 3),Spherical Pores,0.5746319444444444,2447.41015625,1.0,11.5753401080812,18.110771637517,988618.0,22095.00109672439,201.8073270727607,-27.394544579692482,4.615278244018555,29.871570587158203,0.9122211457318125,30.0512752532959,0.39643433690071106,5.378818035125732,47.93571472167969
Ko et. al (Etapas 3),Spherical Pores,0.6057731481481482,3701.0927734375,1.0,11.507411206562143,18.110771637517,1039239.0,21782.909636321427,142.4111456367532,-29.30440389679523,10.05839729309082,21.56386947631836,0.9430207104706964,28.77096176147461,0.3744504749774933,5.170103073120117,47.357601165771484
Ko et. al (Etapas 3),Spherical Pores,0.6057731481481482,3701.0927734375,1.0,11.507411206562145,18.110771637517,1039239.0,21782.909636321427,142.41114563675316,-29.30440389679523,13.853667259216309,20.4404296875,0.948957891038601,28.663156509399414,0.5193122625350952,4.991580963134766,46.98050308227539
Ko et. al (Etapas 3),Spherical Pores,0.6057731481481482,3701.0927734375,1.0,11.507411206562146,18.110771637517,1039239.0,21782.909636321427,142.41114563675316,-29.30440389679523,10.35106086730957,22.775619506835938,0.9244824576197943,27.702896118164062,0.4049128293991089,6.065426826477051,47.49313735961914
Ko et. al (Etapas 3),Spherical Pores,0.6057731481481482,3701.0927734375,1.0,11.507411206562141,18.110771637517,1039239.0,21782.909636321427,142.41114563675316,-29.30440389679523,12.137035369873047,21.9750919342041,0.935657781986746,28.705427169799805,0.5116893649101257,4.315845966339111,47.272735595703125
Ko et. al (Etapas 3),Spherical Pores,0.6250798611111111,5254.29345703125,1.0,13.986442232552536,21.931713268527144,1074388.0,18499.29799949051,91.99933653274515,-14.085212463632736,16.22844696044922,30.306612014770508,0.917616861649509,24.668529510498047,0.530656099319458,2.808098554611206,45.419464111328125
Ko et. al (Etapas 3),Spherical Pores,0.6250798611111111,5254.29345703125,1.0,13.986442232552541,21.931713268527144,1074388.0,18499.29799949051,91.99933653274515,-14.085212463632736,19.129592895507812,32.0977897644043,0.9261007171009201,25.861858367919922,0.49525782465934753,3.5241410732269287,46.260765075683594
Ko et. al (Etapas 3),Spherical Pores,0.6250798611111111,5254.29345703125,1.0,13.98644223255253,21.931713268527144,1074388.0,18499.29799949051,91.99933653274515,-14.085212463632736,20.446455001831055,31.63616943359375,0.9326140254857673,25.247859954833984,0.5388696193695068,2.450186252593994,45.60216522216797
Ko et. al (Etapas 3),Spherical Pores,0.6250798611111111,5254.2939453125,1.0,13.986442232552541,21.931713268527144,1074388.0,18499.29799949051,91.99933653274516,-14.085212463632736,16.868858337402344,29.391603469848633,0.9354704369379441,25.204437255859375,0.4899598956108093,1.4960230588912964,45.741455078125
Ko et. al (Etapas 3),Spherical Pores,0.6207615740740741,2603.66064453125,1.0,12.358596690606282,18.658129485507295,1064199.0,20278.916490542437,135.32506383186364,-16.900265519570638,18.440067291259766,40.860225677490234,0.9059589905808713,41.44546890258789,0.5753749012947083,5.460014343261719,52.62452697753906
