Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 1),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.435069575944727,10.891451493412363,897665.0,31603.664815892673,558.3988967004647,-67.1534388008366,5.903591632843018,31.608112335205078,0.9039065965294405
Ko et. al (Etapa 1),Spherical Pores,0.5221400462962963,568.2122802734375,1.0,7.435069575944724,10.891451493412363,897665.0,31603.66481589268,558.3988967004647,-67.1534388008366,8.359057426452637,31.014400482177734,0.9108660924213471
Ko et. al (Etapa 1),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.43506957594473,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,7.6698737144470215,30.526681900024414,0.9207131344860836
Ko et. al (Etapa 1),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034676,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,21.4632511138916,38.36000442504883,0.9268210043348823
Ko et. al (Etapa 1),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034675,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,19.35462760925293,34.907066345214844,0.9315266154086507
Ko et. al (Etapa 1),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119294,564.4520604255775,-54.66972295206605,17.516042709350586,36.013736724853516,0.9298185395287322
Ko et. al (Etapa 1),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119305,564.4520604255775,-54.66972295206605,19.54460906982422,33.659183502197266,0.9337314791776532
Ko et. al (Etapa 1),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,3.821544647216797,42.215152740478516,0.8621518128019342
Ko et. al (Etapa 1),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613022,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,0.41928598284721375,42.44207763671875,0.8404036344354423
Ko et. al (Etapa 1),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.33820475861302,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,4.440367698669434,45.802886962890625,0.8163706228569825
Ko et. al (Etapa 1),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,1.3773056268692017,39.80384826660156,0.8648931243356289
Ko et. al (Etapa 1),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.10595948237351,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,19.378442764282227,32.24414825439453,0.9400757261880243
Ko et. al (Etapa 1),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,19.338333129882812,32.42450714111328,0.9270276379118332
Ko et. al (Etapa 1),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,17.0183048248291,29.366884231567383,0.9465983347074208
Ko et. al (Etapa 1),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373509,13.484778931738408,893348.0000000001,25876.033958198066,444.62988182500567,-24.83811830627892,16.951887130737305,29.981050491333008,0.9384942285836119
