time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
5800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597347e-05 -3.4419061e-05 0.00017283106 761.48131 215.62348
5850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597319e-05 -3.4419047e-05 0.00017283078 761.48008 215.62313
5900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597292e-05 -3.4419033e-05 0.00017283052 761.47894 215.62281
5950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597267e-05 -3.4419021e-05 0.00017283027 761.47786 215.6225
6000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597243e-05 -3.4419009e-05 0.00017283004 761.47685 215.62222
6050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597221e-05 -3.4418997e-05 0.00017282983 761.4759 215.62195
6100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.25972e-05 -3.4418987e-05 0.00017282962 761.475 215.62169
6150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597181e-05 -3.4418977e-05 0.00017282943 761.47417 215.62146
6200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597162e-05 -3.4418968e-05 0.00017282926 761.47338 215.62123
6250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597145e-05 -3.4418959e-05 0.00017282909 761.47264 215.62103
6300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597129e-05 -3.4418951e-05 0.00017282893 761.47195 215.62083
6350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597114e-05 -3.4418943e-05 0.00017282878 761.4713 215.62064
6400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597099e-05 -3.4418936e-05 0.00017282864 761.47068 215.62047
6450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597086e-05 -3.4418929e-05 0.00017282851 761.47011 215.62031
6500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597073e-05 -3.4418923e-05 0.00017282839 761.46957 215.62016
6550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597061e-05 -3.4418917e-05 0.00017282828 761.46907 215.62001
6600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259705e-05 -3.4418911e-05 0.00017282817 761.46859 215.61988
6650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259704e-05 -3.4418906e-05 0.00017282807 761.46815 215.61975
6700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259703e-05 -3.4418901e-05 0.00017282797 761.46773 215.61963
6750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597021e-05 -3.4418897e-05 0.00017282788 761.46733 215.61952
