time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
4900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597359e-05 -3.4418338e-05 0.00017240942 759.62363 215.09745
4950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259734e-05 -3.4418355e-05 0.00017241016 759.62689 215.09838
5000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597322e-05 -3.4418371e-05 0.00017241089 759.63011 215.09929
5050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597304e-05 -3.4418386e-05 0.00017241162 759.6333 215.10019
5100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597288e-05 -3.4418401e-05 0.00017241234 759.63646 215.10109
5150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597271e-05 -3.4418415e-05 0.00017241305 759.63958 215.10197
5200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597255e-05 -3.4418429e-05 0.00017241375 759.64268 215.10285
5250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259724e-05 -3.4418442e-05 0.00017241445 759.64575 215.10372
5300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597226e-05 -3.4418455e-05 0.00017241513 759.64879 215.10458
5350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597212e-05 -3.4418467e-05 0.00017241582 759.6518 215.10543
5400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597198e-05 -3.4418478e-05 0.0001724165 759.65478 215.10628
5450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597185e-05 -3.4418489e-05 0.00017241717 759.65774 215.10711
5500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597173e-05 -3.44185e-05 0.00017241783 759.66067 215.10794
5550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597161e-05 -3.441851e-05 0.00017241849 759.66357 215.10876
5600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597149e-05 -3.441852e-05 0.00017241914 759.66645 215.10958
5650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597138e-05 -3.441853e-05 0.00017241979 759.6693 215.11038
5700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597128e-05 -3.4418539e-05 0.00017242043 759.67212 215.11119
5750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597117e-05 -3.4418547e-05 0.00017242107 759.67493 215.11198
5800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597107e-05 -3.4418556e-05 0.0001724217 759.6777 215.11277
5850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597098e-05 -3.4418564e-05 0.00017242232 759.68046 215.11355
5900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597089e-05 -3.4418572e-05 0.00017242294 759.68319 215.11432
5950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259708e-05 -3.4418579e-05 0.00017242356 759.6859 215.11509
6000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597071e-05 -3.4418586e-05 0.00017242417 759.68858 215.11585
6050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597063e-05 -3.4418593e-05 0.00017242477 759.69124 215.1166
6100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597055e-05 -3.44186e-05 0.00017242537 759.69389 215.11735
6150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597048e-05 -3.4418606e-05 0.00017242596 759.69651 215.11809
6200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259704e-05 -3.4418612e-05 0.00017242655 759.6991 215.11883
6250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597033e-05 -3.4418618e-05 0.00017242714 759.70168 215.11956
6300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597027e-05 -3.4418624e-05 0.00017242772 759.70424 215.12028
6350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259702e-05 -3.4418629e-05 0.0001724283 759.70678 215.121
6400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597014e-05 -3.4418635e-05 0.00017242887 759.70929 215.12171
6450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597008e-05 -3.441864e-05 0.00017242943 759.71179 215.12242
6500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597002e-05 -3.4418645e-05 0.00017243 759.71427 215.12312
